BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,STATE,EVENT_TYPE,CZ_NAME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,TOR_F_SCALE,MAGNITUDE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,FLOOD_CAUSE,MONTH_NAME
201112,22,0405,Pennsylvania,Winter Storm,HIGHLAND,42.2366,-76.0854,42.1892,-76.0879,,5.2,0,0,120K,,December
201902,3,1353,Pennsylvania,Winter Storm,NORTHERN,41.8518,-76.8363,41.8241,-76.9384,,14.7,0,0,43K,,February
201803,5,1755,Mississippi,Thunderstorm Wind,BASIN,34.844,-90.527,34.7219,-90.4346,,79.6,0,0,13K,,March
201206,25,1705,South Dakota,Thunderstorm Wind,METRO,45.4129,-97.9033,45.4304,-97.8705,,74.6,0,0,19K,,June
201706,22,1833,Kentucky,Tornado,MOUNTAIN,37.9787,-88.5236,38.1255,-88.6419,EF2,0.0,0,0,570K,,June
201502,13,0916,Missouri,Flash Flood,RIVER,39.9257,-94.2326,39.7878,-94.158,,3.2,0,0,199K,Heavy Rain / Burn Area,February
201408,6,0206,Ohio,Hail,NORTHERN,41.0005,-82.8139,40.9301,-82.812,,1.21,0,0,31K,,August
201907,12,0720,Missouri,Thunderstorm Wind,SOUTHERN,40.4247,-89.7125,40.2889,-89.7692,,83.0,0,0,11K,,July
201604,28,1442,Missouri,Flash Flood,WESTERN,37.4074,-91.9192,37.3183,-92.1361,,3.1,0,0,59K,Heavy Rain,April
202104,13,0110,South Dakota,Flash Flood,MOUNTAIN,43.6545,-102.9872,43.874,-103.1655,,2.3,0,0,40K,Heavy Rain,April
201611,15,1803,Texas,Flash Flood,NORTHERN,31.0072,-100.1717,31.0694,-100.3201,,1.3,0,0,131K,Heavy Rain,November
201009,27,0718,Texas,Flash Flood,PLAINS,26.9618,-97.7937,26.9537,-97.5285,,3.2,0,0,267K,Heavy Rain,September
201405,26,1857,Indiana,Tornado,METRO,41.6116,-87.14,41.5961,-87.0454,EF0,0.0,0,0,2K,,May
201310,28,0231,Mississippi,Hurricane,CENTRAL,31.7165,-88.9208,31.6549,-88.7549,,73.1,0,0,23.2M,,October
202409,27,1009,Kansas,Thunderstorm Wind,RIVER,38.7981,-95.5408,39.0089,-95.675,,70.5,0,0,10K,,September
201203,1,0840,Kansas,Tornado,PLAINS,38.519,-96.893,38.5356,-96.7514,EF2,0.0,0,0,512K,,March
202306,16,2139,Missouri,Thunderstorm Wind,BASIN,37.3177,-89.6038,37.2841,-89.5674,,62.7,0,0,5K,,June
201611,23,1925,New Mexico,Wildfire,MOUNTAIN,35.7732,-108.9912,35.9541,-109.1006,,2281.0,0,0,117K,,November
201406,13,1455,Florida,Hail,RIVER,28.7376,-81.0071,28.5175,-80.6877,,0.6,0,0,7K,,June
201506,5,1919,Oklahoma,Tornado,METRO,34.0892,-95.0797,34.1258,-95.1672,EF0,0.0,0,0,4K,,June
202206,12,1359,Iowa,Tornado,VALLEY,43.1125,-91.0676,43.3718,-90.8603,EF1,0.0,0,0,27K,,June
201109,2,2141,Oklahoma,Flash Flood,NORTHERN,36.4682,-95.2372,36.3016,-95.3079,,3.3,0,0,105K,Heavy Rain,September
202209,14,1341,Georgia,Flash Flood,COASTAL,31.6257,-84.9291,31.3622,-84.8799,,6.0,0,0,22K,Heavy Rain,September
202105,30,2051,Minnesota,Thunderstorm Wind,MOUNTAIN,45.4373,-93.0772,45.6989,-93.0114,,73.8,0,0,11K,,May
201805,22,1955,Michigan,Thunderstorm Wind,SOUTHERN,45.7549,-89.6392,46.028,-89.5296,,40.5,0,0,14K,,May
202411,24,2256,North Dakota,Winter Storm,RIDGE,46.6855,-99.6744,46.5848,-99.6276,,14.3,0,0,92K,,November
201703,8,1408,Idaho,Winter Storm,GROVE,42.8381,-116.474,43.0595,-116.4187,,12.2,0,0,28K,,March
201908,9,1431,Louisiana,Thunderstorm Wind,METRO,29.6304,-93.2611,29.7804,-93.4199,,58.2,0,0,66K,,August
201209,12,1559,Mississippi,Hurricane,CENTRAL,33.6452,-88.2757,33.7283,-87.9266,,125.2,0,0,674K,,September
202008,14,1517,Missouri,Tornado,CENTRAL,38.0346,-93.7771,37.9433,-93.9581,EF3,0.0,0,0,3.4M,,August
201109,19,0240,Idaho,Wildfire,PARK,42.203,-115.7069,42.1761,-115.6774,,13384.0,0,0,675K,,September
202202,17,1857,Oklahoma,Tornado,WESTERN,36.488,-102.5078,36.5578,-102.3489,EF3,0.0,0,0,4.7M,,February
201108,27,0848,Michigan,Flash Flood,BASIN,42.9741,-88.2339,43.0946,-87.9758,,1.7,0,0,148K,Heavy Rain,August
201508,3,1811,Alabama,Hurricane,VALLEY,34.9041,-86.8492,34.9683,-86.8776,,119.0,0,0,7.2M,,August
201408,14,0756,Minnesota,Flash Flood,HIGHLAND,46.4993,-94.0889,46.792,-93.7774,,3.1,0,0,117K,Heavy Rain,August
