event_id,true_type,predicted_type,confidence,correct
1,FLASH_FLOOD,FLASH_FLOOD,0.9081,1
2,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9863,1
3,FLASH_FLOOD,FLASH_FLOOD,0.9906,1
4,WINTER_STORM,WINTER_STORM,0.9872,1
5,TORNADO,TORNADO,0.9977,1
6,TORNADO,TORNADO,0.9979,1
7,TORNADO,TORNADO,0.999,1
8,WINTER_STORM,FLASH_FLOOD,0.6864,0
9,WINTER_STORM,WINTER_STORM,0.9442,1
10,HURRICANE,HURRICANE,0.9993,1
11,FLASH_FLOOD,SEVERE_THUNDERSTORM,0.577,0
12,TORNADO,TORNADO,0.8827,1
13,TORNADO,TORNADO,0.9989,1
14,HURRICANE,HURRICANE,0.9975,1
15,HURRICANE,HURRICANE,0.9993,1
16,HURRICANE,HURRICANE,0.9992,1
17,TORNADO,TORNADO,0.9987,1
18,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9993,1
19,FLASH_FLOOD,FLASH_FLOOD,0.9962,1
20,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9988,1
21,TORNADO,TORNADO,0.999,1
22,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9797,1
23,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9966,1
24,FLASH_FLOOD,FLASH_FLOOD,0.8283,1
25,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9969,1
26,WINTER_STORM,WINTER_STORM,0.9876,1
27,FLASH_FLOOD,FLASH_FLOOD,0.9871,1
28,FLASH_FLOOD,FLASH_FLOOD,0.9886,1
29,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9441,1
30,WILDFIRE,WILDFIRE,0.9898,1
31,FLASH_FLOOD,FLASH_FLOOD,0.7833,1
32,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.999,1
33,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9981,1
34,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9944,1
35,HURRICANE,HURRICANE,0.9993,1
36,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9994,1
37,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9993,1
38,HURRICANE,HURRICANE,0.9992,1
39,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9992,1
40,HURRICANE,HURRICANE,0.9989,1
41,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9819,1
42,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9972,1
43,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.999,1
44,WINTER_STORM,WINTER_STORM,0.9971,1
45,WINTER_STORM,FLASH_FLOOD,0.5636,0
46,FLASH_FLOOD,FLASH_FLOOD,0.9914,1
47,FLASH_FLOOD,SEVERE_THUNDERSTORM,0.5316,0
48,TORNADO,TORNADO,0.9838,1
49,HURRICANE,HURRICANE,0.9911,1
50,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9986,1
51,SEVERE_THUNDERSTORM,FLASH_FLOOD,0.6533,0
52,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.998,1
53,HURRICANE,HURRICANE,0.999,1
54,WINTER_STORM,WINTER_STORM,0.9718,1
55,TORNADO,TORNADO,0.9812,1
56,TORNADO,TORNADO,0.9897,1
57,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9989,1
58,TORNADO,TORNADO,0.983,1
59,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9979,1
60,WILDFIRE,WILDFIRE,0.9913,1
61,FLASH_FLOOD,FLASH_FLOOD,0.9862,1
62,FLASH_FLOOD,FLASH_FLOOD,0.9101,1
63,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.998,1
64,HURRICANE,HURRICANE,0.9989,1
65,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9988,1
66,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9966,1
67,HURRICANE,HURRICANE,0.999,1
68,TORNADO,TORNADO,0.9982,1
69,HURRICANE,HURRICANE,0.9984,1
70,TORNADO,TORNADO,0.9824,1
71,HURRICANE,HURRICANE,0.9993,1
72,FLASH_FLOOD,FLASH_FLOOD,0.9832,1
73,HURRICANE,HURRICANE,0.9991,1
74,FLASH_FLOOD,FLASH_FLOOD,0.9586,1
75,FLASH_FLOOD,WINTER_STORM,0.7926,0
76,WILDFIRE,WILDFIRE,0.9978,1
77,FLASH_FLOOD,FLASH_FLOOD,0.9877,1
78,WILDFIRE,WILDFIRE,0.9988,1
79,TORNADO,TORNADO,0.9517,1
80,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9991,1
81,FLASH_FLOOD,FLASH_FLOOD,0.9312,1
82,FLASH_FLOOD,FLASH_FLOOD,0.9901,1
83,WILDFIRE,WILDFIRE,0.9991,1
84,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9941,1
85,TORNADO,TORNADO,0.9985,1
86,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9992,1
87,TORNADO,TORNADO,0.893,1
88,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9719,1
89,TORNADO,TORNADO,0.999,1
90,FLASH_FLOOD,FLASH_FLOOD,0.9603,1
91,FLASH_FLOOD,FLASH_FLOOD,0.8126,1
92,TORNADO,TORNADO,0.9932,1
93,WINTER_STORM,WINTER_STORM,0.9972,1
94,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9987,1
95,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9936,1
96,TORNADO,TORNADO,0.9932,1
97,TORNADO,TORNADO,0.9775,1
98,FLASH_FLOOD,FLASH_FLOOD,0.5595,1
99,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9992,1
100,FLASH_FLOOD,FLASH_FLOOD,0.9804,1
101,FLASH_FLOOD,FLASH_FLOOD,0.9739,1
102,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9731,1
103,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9698,1
104,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9993,1
105,WINTER_STORM,WINTER_STORM,0.7737,1
106,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.992,1
107,TORNADO,TORNADO,0.9774,1
108,FLASH_FLOOD,FLASH_FLOOD,0.8922,1
109,FLASH_FLOOD,FLASH_FLOOD,0.9892,1
110,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9892,1
111,TORNADO,TORNADO,0.995,1
112,HURRICANE,HURRICANE,0.9963,1
113,TORNADO,TORNADO,0.9951,1
114,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9249,1
115,FLASH_FLOOD,FLASH_FLOOD,0.9911,1
116,FLASH_FLOOD,FLASH_FLOOD,0.9907,1
117,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9958,1
118,WINTER_STORM,WINTER_STORM,0.9976,1
119,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9965,1
120,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9976,1
121,TORNADO,TORNADO,0.9842,1
122,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.997,1
123,FLASH_FLOOD,FLASH_FLOOD,0.996,1
124,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.999,1
125,TORNADO,TORNADO,0.9988,1
126,TORNADO,TORNADO,0.9987,1
127,WINTER_STORM,FLASH_FLOOD,0.9898,0
128,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9975,1
129,FLASH_FLOOD,FLASH_FLOOD,0.9787,1
130,FLASH_FLOOD,FLASH_FLOOD,0.9116,1
131,HURRICANE,HURRICANE,0.9991,1
132,FLASH_FLOOD,FLASH_FLOOD,0.9915,1
133,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9992,1
134,FLASH_FLOOD,FLASH_FLOOD,0.6232,1
135,HURRICANE,HURRICANE,0.9992,1
136,WILDFIRE,WILDFIRE,0.9984,1
137,TORNADO,TORNADO,0.9927,1
138,FLASH_FLOOD,FLASH_FLOOD,0.9372,1
139,FLASH_FLOOD,SEVERE_THUNDERSTORM,0.8418,0
140,WILDFIRE,WILDFIRE,0.9987,1
141,TORNADO,TORNADO,0.998,1
142,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9992,1
143,TORNADO,TORNADO,0.9927,1
144,FLASH_FLOOD,FLASH_FLOOD,0.9895,1
145,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9991,1
146,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9987,1
147,HURRICANE,HURRICANE,0.9992,1
148,TORNADO,TORNADO,0.9796,1
149,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9981,1
150,WINTER_STORM,WINTER_STORM,0.7738,1
151,TORNADO,TORNADO,0.9988,1
152,FLASH_FLOOD,FLASH_FLOOD,0.9843,1
153,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9987,1
154,WINTER_STORM,WINTER_STORM,0.994,1
155,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9919,1
156,HURRICANE,HURRICANE,0.9993,1
157,WILDFIRE,WILDFIRE,0.9994,1
158,WILDFIRE,WILDFIRE,0.9991,1
159,WILDFIRE,WILDFIRE,0.9984,1
160,FLASH_FLOOD,FLASH_FLOOD,0.9522,1
161,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.996,1
162,FLASH_FLOOD,FLASH_FLOOD,0.9204,1
163,FLASH_FLOOD,FLASH_FLOOD,0.9848,1
164,WINTER_STORM,WINTER_STORM,0.9107,1
165,HURRICANE,HURRICANE,0.9992,1
166,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.8718,1
167,HURRICANE,HURRICANE,0.998,1
168,WINTER_STORM,FLASH_FLOOD,0.8397,0
169,HURRICANE,HURRICANE,0.9881,1
170,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9986,1
171,TORNADO,TORNADO,0.9859,1
172,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9989,1
173,WINTER_STORM,WINTER_STORM,0.8077,1
174,HURRICANE,HURRICANE,0.9992,1
175,SEVERE_THUNDERSTORM,FLASH_FLOOD,0.6386,0
176,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9965,1
177,WINTER_STORM,WINTER_STORM,0.9909,1
178,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9989,1
179,TORNADO,TORNADO,0.9979,1
180,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9979,1
181,FLASH_FLOOD,FLASH_FLOOD,0.9887,1
182,WINTER_STORM,WINTER_STORM,0.9861,1
183,WINTER_STORM,WINTER_STORM,0.999,1
184,FLASH_FLOOD,FLASH_FLOOD,0.6928,1
185,WILDFIRE,WILDFIRE,0.9981,1
186,HURRICANE,HURRICANE,0.9992,1
187,WINTER_STORM,WINTER_STORM,0.6084,1
188,TORNADO,TORNADO,0.9915,1
189,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9978,1
190,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9948,1
191,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9992,1
192,TORNADO,TORNADO,0.9989,1
193,FLASH_FLOOD,FLASH_FLOOD,0.9741,1
194,FLASH_FLOOD,FLASH_FLOOD,0.9664,1
195,FLASH_FLOOD,FLASH_FLOOD,0.9845,1
196,TORNADO,TORNADO,0.9951,1
197,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9979,1
198,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.997,1
199,WILDFIRE,WILDFIRE,0.9933,1
200,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9993,1
201,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9987,1
202,HURRICANE,HURRICANE,0.9973,1
203,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9991,1
204,HURRICANE,HURRICANE,0.9992,1
205,HURRICANE,HURRICANE,0.9986,1
206,FLASH_FLOOD,FLASH_FLOOD,0.6392,1
207,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9992,1
208,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.8715,1
209,TORNADO,TORNADO,0.9936,1
210,TORNADO,TORNADO,0.9949,1
211,FLASH_FLOOD,FLASH_FLOOD,0.9668,1
212,TORNADO,TORNADO,0.9959,1
213,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9994,1
214,HURRICANE,HURRICANE,0.9936,1
215,TORNADO,TORNADO,0.9978,1
216,FLASH_FLOOD,FLASH_FLOOD,0.5035,1
217,TORNADO,TORNADO,0.8797,1
218,FLASH_FLOOD,FLASH_FLOOD,0.4873,1
219,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9988,1
220,TORNADO,TORNADO,0.9902,1
221,FLASH_FLOOD,FLASH_FLOOD,0.628,1
222,TORNADO,TORNADO,0.9877,1
223,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9856,1
224,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9983,1
225,WINTER_STORM,WINTER_STORM,0.9947,1
226,FLASH_FLOOD,FLASH_FLOOD,0.9483,1
227,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9833,1
228,TORNADO,TORNADO,0.9935,1
229,FLASH_FLOOD,FLASH_FLOOD,0.9827,1
230,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9908,1
231,FLASH_FLOOD,FLASH_FLOOD,0.9676,1
232,WINTER_STORM,WINTER_STORM,0.9618,1
233,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9989,1
234,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9981,1
235,WINTER_STORM,WINTER_STORM,0.9972,1
236,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9994,1
237,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9987,1
238,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9948,1
239,TORNADO,TORNADO,0.9782,1
240,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9924,1
241,FLASH_FLOOD,FLASH_FLOOD,0.9961,1
242,HURRICANE,HURRICANE,0.9898,1
243,WILDFIRE,WILDFIRE,0.9991,1
244,WINTER_STORM,WINTER_STORM,0.995,1
245,FLASH_FLOOD,FLASH_FLOOD,0.9763,1
246,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9948,1
247,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9986,1
248,FLASH_FLOOD,FLASH_FLOOD,0.721,1
249,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.9869,1
250,FLASH_FLOOD,FLASH_FLOOD,0.9922,1
251,SEVERE_THUNDERSTORM,SEVERE_THUNDERSTORM,0.5463,1
